label,trend,seasonal,hike_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,fitted,residual
2002-04-01,12.327667791708684,-0.03517806918962526,-0.0,0.0,0.0,0.0,12.29248972251906,0.003062501483860558
2002-05-01,12.328828808974201,-0.08168146881463723,-0.0,0.0,0.0,0.0,12.247147340159565,-0.0004943292991175241
2002-06-01,12.330160448189863,-0.0379762137447114,-0.0,0.0,0.0,0.0,12.292184234445152,0.0029655695447470265
2002-07-01,12.330468498274133,0.1700543385733877,-0.0,0.0,0.0,0.0,12.500522836847521,0.01216648474821369
2002-08-01,12.326577191428342,-0.04694168895188936,-0.0,0.0,0.0,0.0,12.279635502476452,0.011008044503991954
2002-09-01,12.31888637415765,-0.04377886228913364,-0.0,0.0,0.0,0.0,12.275107511868516,-0.004666672205591027
2002-10-01,12.312806301182912,-0.03731198359777537,-0.0,0.0,0.0,0.0,12.275494317585137,-0.012290203022466528
2002-11-01,12.31096829655393,0.03759022621616109,-0.0,0.0,0.0,0.0,12.348558522770091,0.006649389259315797
2002-12-01,12.306835211994278,0.4056616364796263,-0.0,0.0,0.0,0.0,12.712496848473904,0.005081189727016877
2003-01-01,12.300948325722825,-0.19211737928911646,-0.0,0.0,0.0,0.0,12.108830946433708,-0.010109685916141586
2003-02-01,12.29855089039465,-0.12087664318321945,-0.0,0.0,0.0,0.0,12.17767424721143,-0.00023772971759150607
2003-03-01,12.296235523894207,-0.016796712811885217,-0.0,0.0,0.0,0.0,12.279438811082322,-0.007344370010150314
2003-04-01,12.296455140368948,-0.03657689152122412,-0.0,0.0,0.0,0.0,12.259878248847723,-0.01291801094888001
2003-05-01,12.301133526448213,-0.08019866696980968,-0.0,0.0,0.0,0.0,12.220934859478403,0.010308333193714603
2003-06-01,12.302253925844951,-0.03676300045277051,-0.0,0.0,0.0,0.0,12.26549092539218,-0.013479796920842446
2003-07-01,12.308026999312258,0.1678651603969416,-0.0,0.0,0.0,0.0,12.475892159709199,-0.0018517479238475687
2003-08-01,12.314439233159456,-0.05000932340093394,-0.0,0.0,0.0,0.0,12.264429909758523,-0.006244056061985859
2003-09-01,12.323006665941017,-0.04207745523347082,-0.0,0.0,0.0,0.0,12.280929210707546,0.013703611802107218
2003-10-01,12.3268442012046,-0.03169856395216782,-0.0,0.0,0.0,0.0,12.295145637252432,0.013113492021499695
2003-11-01,12.326155522980612,0.03325644208130426,-0.0,0.0,0.0,0.0,12.359411965061916,-0.013994855592928346
2003-12-01,12.330297291752041,0.40278284103744894,-0.0,0.0,0.0,0.0,12.73308013278949,0.007791466084785981
2004-01-01,12.331749786478008,-0.18682100686663441,-0.0,0.0,0.0,0.0,12.144928779611375,-0.0024777423785256047
2004-02-01,12.334057505547314,-0.12446462441358759,-0.0,0.0,0.0,0.0,12.209592881133727,0.006162732778781432
2004-03-01,12.334238120889845,-0.015825574192836818,-0.0,0.0,0.0,0.0,12.318412546697008,0.009005670006319022
2004-04-01,12.331310370910936,-0.031889592072330414,-0.0,0.0,0.0,0.0,12.299420778838606,0.0034473065872049347
2004-05-01,12.327192769976085,-0.08865114165261946,-0.0,0.0,0.0,0.0,12.238541628323466,-0.01760500114474972
2004-06-01,12.32915168968336,-0.02806550623276822,-0.0,0.0,0.0,0.0,12.301086183450593,-0.004478376757173663
2004-07-01,12.332656372326065,0.16229049975527748,-0.0,0.0,0.0,0.0,12.494946872081343,-0.0009396859721473305
2004-08-01,12.336485410547665,-0.04793334205762642,-0.0,0.0,0.0,0.0,12.288552068490038,0.0039551210269266335
2004-09-01,12.338949322708912,-0.044716171145045155,-0.0,0.0,0.0,0.0,12.294233151563866,-0.0017351340447913088
2004-10-01,12.342012145089269,-0.03168907651498927,-0.0,0.0,0.0,0.0,12.310323068574279,-0.0017344492621838015
2004-11-01,12.345673641091222,0.03925526440053676,-0.0,0.0,0.0,0.0,12.384928905491758,0.005874891426168816
2004-12-01,12.347307386443084,0.39312994971898285,-0.0,0.0,0.0,0.0,12.740437336162067,-0.0012131551429366283
2005-01-01,12.3493598764027,-0.17752856857742608,-0.0,0.0,0.0,0.0,12.171831307825274,0.008384923159672653
2005-02-01,12.34851825870558,-0.12927776328789073,-0.0,0.0,0.0,0.0,12.21924049541769,-0.01155415259762016
2005-03-01,12.351664663238235,-0.016629830203532,-0.0,0.0,0.0,0.0,12.335034833034703,0.0009821543388373044
2005-04-01,12.354472084674365,-0.030476531539944732,-0.0,0.0,0.0,0.0,12.32399555313442,0.005683141354925425
2005-05-01,12.355317940157866,-0.08988079512148496,-0.0,0.0,0.0,0.0,12.265437145036381,-0.008310233683708645
2005-06-01,12.35903215367108,-0.02139417040707065,-0.0,0.0,0.0,0.0,12.33763798326401,-0.0021084847834007547
2005-07-01,12.363474142317907,0.15700241872134102,-0.0,0.0,0.0,0.0,12.520476561039247,-0.011097048410162458
2005-08-01,12.371746378989169,-0.04809423606807344,-0.0,0.0,0.0,0.0,12.323652142921095,0.014062611660794033
2005-09-01,12.37516480716139,-0.046152256121183656,-0.0,0.0,0.0,0.0,12.329012551040206,0.002220296263178767
2005-10-01,12.377816894912751,-0.030071699132817205,-0.0,0.0,0.0,0.0,12.347745195779934,0.001050221930904982
2005-11-01,12.380106502490525,0.04214817925310352,-0.0,0.0,0.0,0.0,12.42225468174363,-0.0009658233820264428
2005-12-01,12.382729483790808,0.387003233422032,-0.0,0.0,0.0,0.0,12.76973271721284,0.002545385185849014
2006-01-01,12.384473917410787,-0.17447803340553322,-0.0,0.0,0.0,0.0,12.209995884005254,0.0046598214553927875
2006-02-01,12.384609989155171,-0.1272280814564133,-0.0,0.0,0.0,0.0,12.257381907698758,-0.004931529382687927
2006-03-01,12.386448229888549,-0.019089875656125563,-0.0,0.0,0.0,0.0,12.367358354232422,0.005541427133056942
2006-04-01,12.386373816302267,-0.03301403430654687,-0.0,0.0,0.0,0.0,12.35335978199572,-0.0029876781172379907
2006-05-01,12.387330636890743,-0.0868427386135055,-0.0,0.0,0.0,0.0,12.300487898277238,-0.0011389580673615285
2006-06-01,12.388680591727738,-0.017932908880454786,-0.0,0.0,0.0,0.0,12.370747682847282,0.0027147602189536713
2006-07-01,12.389093539844783,0.15893066948149992,-0.0,0.0,0.0,0.0,12.548024209326282,-0.02429451357990864
2006-08-01,12.397891945305007,-0.056074527490867075,-0.0,0.0,0.0,0.0,12.34181741781414,-4.3236125238266254e-05
2006-09-01,12.406705286849368,-0.04533304274869328,-0.0,0.0,0.0,0.0,12.361372244100675,0.018237655628366767
