model_id,model_label,converged,warnflag,log_likelihood,aic,bic,residual_std,residual_rmse,ljung_box_p_value_lag12,ljung_box_p_value_lag24
centered_current_five_event,現行5変数モデル（中心化確認）,True,0,584.0694369756319,-1124.1388739512638,-1043.6302652045522,0.010719554101646335,0.010700862624302398,2.192728096934034e-07,1.0819897412521067e-05
centered_covid_main_log1p_lag1,COVID期ダミー＋中心化感染者数ラグ1＋統計接続ダミー,True,0,577.022300066136,-1114.044600132272,-1040.8549558170796,0.010966943735114802,0.010947820889293665,6.183123736380629e-07,1.9292383141897428e-05
centered_covid_main_log1p_lag0,COVID期ダミー＋中心化感染者数ラグ0＋統計接続ダミー,True,0,577.0413357075804,-1114.0826714151608,-1040.8930270999683,0.01094228065412483,0.010923200812836827,6.31976531506883e-07,1.7508217247608933e-05
centered_log1p_lag1_only,中心化感染者数ラグ1＋統計接続ダミー,True,0,572.3652483664484,-1106.7304967328969,-1037.200334633464,0.009939362902852834,0.009922031829680369,1.550730724271233e-07,1.814707319867489e-06
