model_id,model_label,parameter,parameter_group,estimate,std_error,z_value,p_value,percent_conversion
current_five_event,現行5変数モデル,obs_error,variance,0.0002341109619547798,3.708878673308839e-05,6.312176336194897,2.751384641630091e-10,
current_five_event,現行5変数モデル,level_noise,variance,7.401868762114502e-05,1.7884438538942753e-05,4.138720232115303,3.4924851952647996e-05,
current_five_event,現行5変数モデル,slope_noise,variance,2.2557076995295782e-11,1.7689956573017713e-08,0.0012751346732926315,0.9989825900069481,
current_five_event,現行5変数モデル,seasonal_noise,variance,5.3641002053270724e-05,1.4074875165581031e-05,3.8111174289094554,0.0001383400268784194,
current_five_event,現行5変数モデル,hike_effect,event,-0.02335148933503511,0.027214488020211442,-0.8580535969551443,0.39086286870848663,-2.3080953206545503
current_five_event,現行5変数モデル,covid_main_effect,event,0.030466732231971393,0.018647935067185838,1.6337858386037984,0.102303826889623,3.0935592552137967
current_five_event,現行5変数モデル,covid_wave1_effect,event,0.05119620831621677,0.01787218820097796,2.864574149538965,0.00417570378966491,5.252938804354352
current_five_event,現行5変数モデル,covid_2021_effect,event,0.016179667443964294,0.012626633851806483,1.2813919872753323,0.20005601716767896,1.6311267051238132
current_five_event,現行5変数モデル,post_stat_change_effect,event,-0.04529940717668249,0.024642147041797124,-1.8382897845649269,0.06601971559161303,-4.428870782809414
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,obs_error,variance,0.0002416194641593402,4.069689221842662e-05,5.9370495138186605,2.901970472272343e-09,
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,level_noise,variance,8.201856428530587e-05,2.0113562557982262e-05,4.077774091430462,4.546891305008604e-05,
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,slope_noise,variance,2.343639728508314e-11,2.2259730212164646e-08,0.0010528607966809706,0.9991599387808572,
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,seasonal_noise,variance,5.544732829596078e-05,1.4674375052857293e-05,3.7785137763099805,0.00015776712601968358,
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,covid_main_effect,event,0.030999846492115297,0.016562305056067952,1.8717108752176888,0.06124661416031375,3.1485345545377066
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,log1p_cases_lag1_effect,event,0.0013929322989750363,0.001478667190686386,0.94201880433179,0.34618301258902084,0.1393902879768597
covid_main_log1p_lag1,COVID期ダミー＋感染者数ラグ1＋統計接続ダミー,post_stat_change_effect,event,-0.044721634810925365,0.028130124106279828,-1.589812922330535,0.11187698019156538,-4.373636470490398
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,obs_error,variance,0.0002451659375524121,4.092381224153577e-05,5.990789325916711,2.0882501026532254e-09,
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,level_noise,variance,7.972120418875005e-05,1.960720519305816e-05,4.06591369875473,4.784463979927751e-05,
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,slope_noise,variance,2.4952441891077338e-11,2.0657297498246246e-08,0.0012079238290098567,0.99903621646058,
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,seasonal_noise,variance,5.584614616893615e-05,1.4975413464444704e-05,3.7291889336831043,0.00019209708382830103,
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,covid_main_effect,event,0.03924612057656397,0.027677851210794233,1.417961252760047,0.15620207755838617,4.002642405589615
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,log1p_cases_lag0_effect,event,0.0004750659939300455,0.002639744883267731,0.179966631223076,0.8571787648678589,0.04751788556508875
covid_main_log1p_lag0,COVID期ダミー＋感染者数ラグ0＋統計接続ダミー,post_stat_change_effect,event,-0.04375496674442786,0.027672602564143556,-1.58116558220378,0.11384018266154229,-4.281152825259637
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,obs_error,variance,0.00023213280255466288,4.0991496021252176e-05,5.662950247883436,1.4879231107764962e-08,
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,level_noise,variance,9.11600208506884e-05,2.1673241514396868e-05,4.206109214910636,2.598047176132948e-05,
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,slope_noise,variance,2.2245202809836868e-11,2.4260655244008057e-08,0.0009169250618377684,0.9992683997522621,
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,seasonal_noise,variance,5.566375321225536e-05,1.446000795007185e-05,3.849496722578135,0.00011836076724366309,
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,log1p_cases_lag1_effect,event,0.003320084369266101,0.0009420918163974211,3.524162201049759,0.00042482410737745277,0.3325601953968043
log1p_lag1_only,感染者数ラグ1＋統計接続ダミー,post_stat_change_effect,event,-0.04535352395534512,0.03018271767270745,-1.5026322164606067,0.13293391091476517,-4.434042644512289
