model_id,model_label,exog_columns,design_n_rows,design_n_columns,design_rank,design_condition_number,corr_hike_dummy_covid_main,corr_hike_dummy_covid_wave1,corr_hike_dummy_covid_2021,corr_hike_dummy_post_stat_change,corr_covid_main_covid_wave1,corr_covid_main_covid_2021,corr_covid_main_post_stat_change,corr_covid_wave1_covid_2021,corr_covid_wave1_post_stat_change,corr_covid_2021_post_stat_change,corr_covid_main_centered_log1p_cases_lag1,corr_centered_log1p_cases_lag1_post_stat_change,corr_covid_main_centered_log1p_cases_lag0,corr_centered_log1p_cases_lag0_post_stat_change
centered_current_five_event,現行5変数モデル（中心化確認）,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",287,5,5,5.33317159536224,-0.1277914127055901,-0.0269952762399509,-0.05798211658727374,-0.13528028910535608,0.21124483772742675,0.45372467022377455,0.11842766289061697,-0.01507271281870855,-0.03516672152952095,-0.07553324995056998,,,,
centered_covid_main_log1p_lag1,COVID期ダミー＋中心化感染者数ラグ1＋統計接続ダミー,"covid_main,centered_log1p_cases_lag1,post_stat_change",287,3,3,1.4549142904107344,,,,,,,0.11842766289061697,,,,-0.0559906704145451,0.2584321900001069,,
centered_covid_main_log1p_lag0,COVID期ダミー＋中心化感染者数ラグ0＋統計接続ダミー,"covid_main,centered_log1p_cases_lag0,post_stat_change",287,3,3,1.403817882508443,,,,,,,0.11842766289061697,,,,,,3.6289519380932956e-16,0.2300931425867843
centered_log1p_lag1_only,中心化感染者数ラグ1＋統計接続ダミー,"centered_log1p_cases_lag1,post_stat_change",287,2,2,1.268530659214508,,,,,,,,,,,,0.2584321900001069,,
