model,split,forecast_type,spec_name,n,rmse,mae,mape,mase
sarima,fixed_a,unconditional,none,24,41548.02366038151,39180.56563695841,9.84023783911612,3.6181796723446498
sarimax,fixed_a,conditional,baseline_m4,24,33985.764338302455,31233.125826496904,7.829297026643291,2.8842631322967938
sarima,fixed_b,unconditional,none,26,16686.6807776141,13964.593736378032,3.502203438321347,1.1165580106981379
sarimax,fixed_b,conditional,baseline_m4,26,8196.974613395452,6873.290431963203,1.758243618863584,0.549563248064378
