model,split,forecast_type,spec_name,n,rmse,mae,mape,mase
naive,fixed_a,unconditional,baseline_m4,24,80656.77450572063,75560.83333333333,20.088095208858984,6.977762233585563
seasonal_naive,fixed_a,unconditional,baseline_m4,24,44753.891937834116,41456.25,10.335366267033395,3.8283306686146683
naive,fixed_b,unconditional,post2020_m5,26,107649.95395189982,101796.46153846153,27.058498838943883,8.139273990864721
seasonal_naive,fixed_b,unconditional,post2020_m5,26,13622.783591073845,11619.923076923076,2.9067611824609183,0.9290866916834299
