model,split,forecast_type,spec_name,n,rmse,mae,mape,mase
ssm,fixed_a,conditional,baseline_m4,24,30857.609559888475,27827.594522938034,7.017863915056753,2.5697749686944005
ssm,fixed_b,conditional,baseline_m4,26,8112.663937320837,6756.339866520137,1.7185000574545855,0.5402123071658279
