model_id,model_label,model_family,rho,covid_start,covid_end,status,error,nobs,design_n_rows,design_n_columns,design_rank,design_condition_number,corr_covid_main_covid_decay,corr_covid_main_post_stat_change,corr_covid_decay_post_stat_change,converged,warnflag,convergence_warning,optimizer_iterations,log_likelihood,aic,bic,residual_std,residual_rmse,ljung_box_p_value_lag12,ljung_box_p_value_lag24,warning_messages,covid_main_estimate,covid_main_std_error,covid_main_percent,covid_main_percent_se,post_stat_change_estimate,post_stat_change_std_error,post_stat_change_percent,post_stat_change_percent_se,covid_decay_estimate,covid_decay_std_error,covid_decay_percent,covid_decay_percent_se
current_five_event,current five-variable model,current_five_event,,2020-03-01,2023-05-01,success,,287,287,5,5,5.33317159536224,,0.11842766289061697,,True,0,False,75,584.0694369756319,-1124.1388739512638,-1043.6302652045522,0.010719554101646335,0.010700862624302398,2.192728096934034e-07,1.0819897412521067e-05,,0.030466732231971393,0.018647935067185838,3.0935592552137967,1.9224819988363022,-0.04529940717668249,0.024642147041797124,-4.428870782809414,2.355077819120604,,,,
reduced_step,reduced step model,reduced_step,,2020-03-01,2023-05-01,success,,287,287,3,3,1.3770343741800852,,0.11842766289061697,,False,2,True,71,578.6968293769588,-1117.3936587539176,-1044.2040144387252,0.010987353032270566,0.010968194599156173,2.8641625513273535e-06,5.949006690660311e-05,Maximum Likelihood optimization failed to converge. Check mle_retvals,0.04000951015616727,0.01204146475524184,4.082067251245858,1.253300544458588,-0.044652376221911955,0.02602631240060444,-4.3670132941265845,2.4889739878099126,,,,
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,2020-03-01,2023-05-01,success,,287,287,4,4,5.5875768000256905,0.35788736924976133,0.11842766289061697,-0.05956641209344278,True,0,False,68,578.7096578736848,-1115.4193157473696,-1038.5701892164175,0.010979797377366858,0.010960652118900505,2.6114592707358715e-06,5.434707159496812e-05,,0.03822167806194285,0.014756323816340882,3.896152232919824,1.5331252656208125,-0.04156579158577204,0.026950039784457203,-4.071377969636717,2.585280180186448,0.005090592939553655,0.02277943093329265,0.5103572022187917,2.2895687399685163
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,2020-03-01,2023-05-01,success,,287,287,4,4,5.002906644118008,0.4536468487576949,0.11842766289061697,-0.07482394348494173,True,0,False,88,579.0486419108879,-1116.0972838217758,-1039.2481572908237,0.011040267811706654,0.011021017112123749,1.7480117755716738e-06,3.9121279585185095e-05,,0.03282371413168978,0.017731648478987873,3.3368354945783,1.8323324419208595,-0.04512748754209772,0.02593099647847627,-4.412438816749212,2.478680712429011,0.02050930860012198,0.02396641906163552,2.072106968324468,2.4463028901069515
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,2020-03-01,2023-05-01,success,,287,287,4,4,4.600797999563889,0.6597400804645001,0.11842766289061697,-0.08696541801025136,True,0,False,68,579.7969401607901,-1117.5938803215802,-1040.7447537906282,0.011011192567459608,0.010991992565812826,1.0363486232010263e-06,2.354197701653115e-05,,0.024787300303796438,0.0242204074421533,2.509705950135917,2.4828268448876183,-0.04322796478789342,0.026162380258821862,-4.230695511137493,2.5055529611605163,0.03673128347722324,0.027366126679705026,3.7414213039696484,2.839000877337083
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,2020-03-01,2023-05-01,success,,287,287,4,4,5.510001510098855,0.8568382760055974,0.11842766289061697,-0.04282643855596326,False,2,True,64,580.3934150206708,-1118.7868300413415,-1041.9377035103894,0.010943617675829211,0.01092453550320255,5.879605525946283e-07,1.3477695464434725e-05,Maximum Likelihood optimization failed to converge. Check mle_retvals,0.012187679829633842,0.033532445985973824,1.22622522464191,3.3943629297093256,-0.04139332490662968,0.026395255427718246,-4.054832051991716,2.532497215043004,0.05367726395579073,0.03545375978480164,5.51440141928188,3.740882241756353
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,2020-03-01,2023-05-01,success,,287,287,4,4,10.482789170871285,0.9716449959616599,0.11842766289061697,0.03987075039568054,True,0,False,71,580.816177713801,-1119.632355427602,-1042.7832288966501,0.01102778122770358,0.011008552300733582,7.070938156880958e-07,1.5686158983158895e-05,,-0.029506843578169916,0.05937161111792414,-2.9075766977427944,5.764533598798491,-0.04116504507660462,0.026482214253945393,-4.032927205238597,2.5414205830748453,0.09763728567318831,0.06176979278534752,10.256279724945752,6.810507551893212
