model_id,model_label,model_family,rho,parameter,parameter_group,estimate,std_error,z_value,p_value,percent_conversion,percent_conversion_se
current_five_event,current five-variable model,current_five_event,,obs_error,variance,0.0002341109619547798,3.708878673308839e-05,6.312176336194897,2.751384641630091e-10,,
current_five_event,current five-variable model,current_five_event,,level_noise,variance,7.401868762114502e-05,1.7884438538942753e-05,4.138720232115303,3.4924851952647996e-05,,
current_five_event,current five-variable model,current_five_event,,slope_noise,variance,2.2557076995295782e-11,1.7689956573017713e-08,0.0012751346732926315,0.9989825900069481,,
current_five_event,current five-variable model,current_five_event,,seasonal_noise,variance,5.3641002053270724e-05,1.4074875165581031e-05,3.8111174289094554,0.0001383400268784194,,
current_five_event,current five-variable model,current_five_event,,hike_effect,event,-0.02335148933503511,0.027214488020211442,-0.8580535969551443,0.39086286870848663,-2.3080953206545503,2.658635169567685
current_five_event,current five-variable model,current_five_event,,covid_main_effect,event,0.030466732231971393,0.018647935067185838,1.6337858386037984,0.102303826889623,3.0935592552137967,1.9224819988363022
current_five_event,current five-variable model,current_five_event,,covid_wave1_effect,event,0.05119620831621677,0.01787218820097796,2.864574149538965,0.00417570378966491,5.252938804354352,1.8811003310174372
current_five_event,current five-variable model,current_five_event,,covid_2021_effect,event,0.016179667443964294,0.012626633851806483,1.2813919872753323,0.20005601716767896,1.6311267051238132,1.2832590248521503
current_five_event,current five-variable model,current_five_event,,post_stat_change_effect,event,-0.04529940717668249,0.024642147041797124,-1.8382897845649269,0.06601971559161303,-4.428870782809414,2.355077819120604
reduced_step,reduced step model,reduced_step,,obs_error,variance,0.00024466223577301785,3.953600222518135e-05,6.188340297522218,6.080096287753007e-10,,
reduced_step,reduced step model,reduced_step,,level_noise,variance,7.535270077870066e-05,1.8467915985816603e-05,4.080195125241619,4.4997912175608e-05,,
reduced_step,reduced step model,reduced_step,,slope_noise,variance,1.0573204023197439e-11,1.7848212594597657e-08,0.0005923956792400469,0.9995273366612936,,
reduced_step,reduced step model,reduced_step,,seasonal_noise,variance,5.611101509940605e-05,1.4460877504734354e-05,3.8801943437413002,0.0001043730341851294,,
reduced_step,reduced step model,reduced_step,,hike_effect,event,-0.023994519078019177,0.025831703951863058,-0.9288786803508029,0.352951962881781,-2.3708939281620425,2.5219261651327542
reduced_step,reduced step model,reduced_step,,covid_main_effect,event,0.04000951015616727,0.01204146475524184,3.3226447919262068,0.0008916838103113489,4.082067251245858,1.253300544458588
reduced_step,reduced step model,reduced_step,,post_stat_change_effect,event,-0.044652376221911955,0.02602631240060444,-1.7156628082614938,0.08622377560943138,-4.3670132941265845,2.4889739878099126
