model_id,covid_main_start,covid_main_end,status,error,converged,warnflag,convergence_warning,nobs,log_likelihood,aic,bic,covid_main_estimate,covid_main_p_value,covid_wave1_estimate,covid_wave1_p_value,post_stat_change_estimate,post_stat_change_p_value,ljung_box_p_value_lag12,ljung_box_p_value_lag24
M1,2020-03-01,2021-12-01,success,,True,0,False,287,581.7366622933458,-1119.4733245866917,-1038.96471583998,0.004449558002955249,0.7148881180492472,0.058132429455549806,3.062620477442726e-05,-0.0431809191726035,0.0964163109754303,1.124825664906358e-07,3.165218160167261e-06
M2,2020-03-01,2022-03-01,success,,False,2,True,287,583.176138308071,-1122.352276616142,-1041.8436678694304,0.03429391804297519,0.08482175648578258,0.04352675913616797,0.007250996217563766,-0.00951938582108338,0.6390310012321292,9.384882980543198e-08,1.969740798773251e-06
M2b,2020-03-01,2022-06-01,success,,False,2,True,287,584.3346482487685,-1124.669296497537,-1044.1606877508254,0.03637486297381008,0.10196839094521765,0.04976569824442696,0.010407763254301195,-0.02124087357431224,0.4124853745079994,7.700800322205285e-08,4.585081937051974e-06
M3,2020-03-01,2022-12-01,success,,True,0,False,287,584.023231334364,-1124.046462668728,-1043.5378539220164,0.03032672856491718,0.07473274473504794,0.049956068661078455,0.0033904673478204403,-0.042179278619391525,0.08773876703574765,2.74526485271938e-07,7.29008986237939e-06
M4,2020-03-01,2023-05-01,success,,True,0,False,287,584.0694369756319,-1124.1388739512638,-1043.6302652045522,0.030466732231971393,0.102303826889623,0.05119620831621677,0.00417570378966491,-0.04529940717668249,0.06601971559161303,2.192728096934034e-07,1.0819897412521067e-05
M5,2020-03-01,None,success,,False,2,True,287,584.5492677828037,-1125.0985355656073,-1044.5899268188957,0.049381163970404054,0.13144516734124015,0.043754320412388,0.058181040731550705,-0.04505808161733103,0.05773864275504991,7.867526891515739e-08,3.2192556153285237e-06
