spec_id,level_noise_scale,level_noise_variance_fixed,reference_level_noise_variance,aic,bic,log_likelihood,converged,warnflag
TR0_local_linear,,,7.412520308531237e-05,-1124.1388739512638,-1043.6302652045522,584.0694369756319,True,0
TR1_fixed_slope,1.0,,7.412520308531237e-05,-1126.1420220936843,-1049.2928955627322,584.0710110468422,True,0
TR1b_level_noise_050,0.5,3.706260154265619e-05,7.412520308531237e-05,-1121.954785124972,-1048.7651408097795,580.977392562486,True,0
TR1c_level_noise_025,0.25,1.8531300771328093e-05,7.412520308531237e-05,-1104.6692251538927,-1031.4795808387003,572.3346125769464,True,0
TR1d_level_noise_010,0.1,7.412520308531238e-06,7.412520308531237e-05,-1070.0618508329621,-996.8722065177697,555.0309254164811,True,0
TR2_deterministic_linear,0.0,0.0,7.412520308531237e-05,-1022.0083280024778,-948.8186836872853,531.0041640012389,False,2
