model_id,term,estimate,std_error,z_value,p_value,effect_percent
baseline_m4,obs_noise,0.0002341109619547798,3.708878673308839e-05,6.312176336194897,2.751384641630091e-10,
baseline_m4,level_noise,7.401868762114502e-05,1.7884438538942753e-05,4.138720232115303,3.4924851952647996e-05,
baseline_m4,slope_noise,2.2557076995295782e-11,1.7689956573017713e-08,0.0012751346732926315,0.9989825900069481,
baseline_m4,seasonal_noise,5.3641002053270724e-05,1.4074875165581031e-05,3.8111174289094554,0.0001383400268784194,
baseline_m4,hike_dummy_effect,-0.02335148933503511,0.027214488020211442,-0.8580535969551443,0.39086286870848663,-2.3080953206545463
baseline_m4,covid_main_effect,0.030466732231971393,0.018647935067185838,1.6337858386037984,0.102303826889623,3.093559255213796
baseline_m4,covid_wave1_effect,0.05119620831621677,0.01787218820097796,2.864574149538965,0.00417570378966491,5.252938804354357
baseline_m4,covid_2021_effect,0.016179667443964294,0.012626633851806483,1.2813919872753323,0.20005601716767896,1.6311267051238199
baseline_m4,post_stat_change_effect,-0.04529940717668249,0.024642147041797124,-1.8382897845649269,0.06601971559161303,-4.428870782809414
fixed_slope_m4,obs_noise,0.0002340144071314385,3.6919947855277424e-05,6.338427346884455,2.3212225182162217e-10,
fixed_slope_m4,level_noise,7.412520308531237e-05,1.707598888368358e-05,4.3409025146497004,1.4189867222488834e-05,
fixed_slope_m4,seasonal_noise,5.3498267398888014e-05,1.3981451866842762e-05,3.8263742498559834,0.00013004453314801505,
fixed_slope_m4,hike_dummy_effect,-0.02334681807564507,0.027195225528437686,-0.858489592271688,0.39062217502994645,-2.3076389753616366
fixed_slope_m4,covid_main_effect,0.030233345865086803,0.01873821036664352,1.6134596246665123,0.10664468827820718,3.069501431463273
fixed_slope_m4,covid_wave1_effect,0.051609257023216455,0.01784153207882583,2.8926471558160554,0.0038201018319145397,5.296422374433374
fixed_slope_m4,covid_2021_effect,0.016143901912250097,0.012626819226495906,1.278540669876227,0.20105885427990422,1.6274918788396153
fixed_slope_m4,post_stat_change_effect,-0.04522366989762845,0.024324464036193472,-1.8591846393958815,0.06300097132701181,-4.421632211414995
