spec_id,term,estimate,std_error,z_value,p_value,effect_percent
TR0_local_linear,obs_noise,0.0002341109619547798,3.708878673308839e-05,6.312176336194897,2.751384641630091e-10,
TR0_local_linear,level_noise,7.401868762114502e-05,1.7884438538942753e-05,4.138720232115303,3.4924851952647996e-05,
TR0_local_linear,slope_noise,2.2557076995295782e-11,1.7689956573017713e-08,0.0012751346732926315,0.9989825900069481,
TR0_local_linear,seasonal_noise,5.3641002053270724e-05,1.4074875165581031e-05,3.8111174289094554,0.0001383400268784194,
TR0_local_linear,hike_dummy_effect,-0.02335148933503511,0.027214488020211442,-0.8580535969551443,0.39086286870848663,-0.023080953206545463
TR0_local_linear,covid_main_effect,0.030466732231971393,0.018647935067185838,1.6337858386037984,0.102303826889623,0.030935592552137958
TR0_local_linear,covid_wave1_effect,0.05119620831621677,0.01787218820097796,2.864574149538965,0.00417570378966491,0.05252938804354357
TR0_local_linear,covid_2021_effect,0.016179667443964294,0.012626633851806483,1.2813919872753323,0.20005601716767896,0.0163112670512382
TR0_local_linear,post_stat_change_effect,-0.04529940717668249,0.024642147041797124,-1.8382897845649269,0.06601971559161303,-0.04428870782809413
TR1_fixed_slope,obs_noise,0.0002340144071314385,3.6919947855277424e-05,6.338427346884455,2.3212225182162217e-10,
TR1_fixed_slope,level_noise,7.412520308531237e-05,1.707598888368358e-05,4.3409025146497004,1.4189867222488834e-05,
TR1_fixed_slope,seasonal_noise,5.3498267398888014e-05,1.3981451866842762e-05,3.8263742498559834,0.00013004453314801505,
TR1_fixed_slope,hike_dummy_effect,-0.02334681807564507,0.027195225528437686,-0.858489592271688,0.39062217502994645,-0.023076389753616366
TR1_fixed_slope,covid_main_effect,0.030233345865086803,0.01873821036664352,1.6134596246665123,0.10664468827820718,0.03069501431463273
TR1_fixed_slope,covid_wave1_effect,0.051609257023216455,0.01784153207882583,2.8926471558160554,0.0038201018319145397,0.05296422374433374
TR1_fixed_slope,covid_2021_effect,0.016143901912250097,0.012626819226495906,1.278540669876227,0.20105885427990422,0.016274918788396153
TR1_fixed_slope,post_stat_change_effect,-0.04522366989762845,0.024324464036193472,-1.8591846393958815,0.06300097132701181,-0.04421632211414994
TR2_deterministic_linear,obs_noise,0.0008910320755975145,9.028875156188337e-05,9.868694163821797,5.690051156422552e-23,
TR2_deterministic_linear,seasonal_noise,3.611384738007155e-05,1.6051731688272704e-05,2.2498412060087016,0.024459027243003747,
TR2_deterministic_linear,intercept,12.609395976707209,0.002495038123324756,5053.78890159185,0.0,
TR2_deterministic_linear,time_slope,0.0023039745000165805,2.597352068719737e-05,88.70474387217882,0.0,
TR2_deterministic_linear,hike_dummy_effect,0.022526018345938276,0.007283985036722768,3.0925404476219587,0.0019845118750891322,0.022781644904917187
TR2_deterministic_linear,covid_main_effect,0.06713442092562376,0.007896745465203553,8.501530310359732,1.871075076421566e-17,0.06943922352351661
TR2_deterministic_linear,covid_wave1_effect,0.06305040600185939,0.04586031989749681,1.374835721660565,0.16918238077013759,0.06508052432915834
TR2_deterministic_linear,covid_2021_effect,0.024159557548958606,0.012260295923835459,1.9705525624377125,0.04877507717626954,0.024453764182364335
TR2_deterministic_linear,post_stat_change_effect,-0.03124463926929729,0.00833558085939288,-3.7483457717394137,0.00017800474309980196,-0.030761569711371117
