spec_id,status,trend_definition,implementation_note,used_exog_cols,dropped_exog_cols,param_names,reference_level_noise_variance,level_noise_scale,level_noise_variance_fixed,warning_messages
TR0_local_linear,success,local linear trend with level and slope disturbances,"Existing main-analysis SSM structure, equivalent to baseline_m4.","hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,level_noise,slope_noise,seasonal_noise,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,,,
TR1_fixed_slope,success,local linear trend with slope disturbance fixed at zero,Slope state retained; slope disturbance removed from selection matrix.,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,level_noise,seasonal_noise,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,1.0,,
TR1b_level_noise_050,success,fixed slope with level-noise variance fixed at 0.50 x TR1 estimate,Slope disturbance fixed at zero; level-noise variance fixed externally as a variance multiplier.,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,seasonal_noise,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,0.5,3.706260154265619e-05,
TR1c_level_noise_025,success,fixed slope with level-noise variance fixed at 0.25 x TR1 estimate,Slope disturbance fixed at zero; level-noise variance fixed externally as a variance multiplier.,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,seasonal_noise,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,0.25,1.8531300771328093e-05,
TR1d_level_noise_010,success,fixed slope with level-noise variance fixed at 0.10 x TR1 estimate,Slope disturbance fixed at zero; level-noise variance fixed externally as a variance multiplier.,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,seasonal_noise,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,0.1,7.412520308531238e-06,
TR2_deterministic_linear,success,deterministic linear regression trend plus seasonal state,Trend is intercept + time_slope * time_index_centered; AIC/BIC should be interpreted cautiously because the state structure differs.,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",,"obs_noise,seasonal_noise,intercept,time_slope,hike_dummy_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,post_stat_change_effect",7.412520308531237e-05,0.0,0.0,Maximum Likelihood optimization failed to converge. Check mle_retvals
