spec_id,ljung_box_p_value_lag12,ljung_box_p_value_lag24,resid_mean,resid_std,resid_min,resid_max
TR0_local_linear,2.192728096934034e-07,1.0819897412521067e-05,3.0328043599516474e-16,0.010719554101646335,-0.03199804374127346,0.047812739791634584
TR1_fixed_slope,2.1937287206310337e-07,1.0770698814868663e-05,6.808336318258799e-17,0.010720274077211177,-0.032007796123412646,0.047820588889059934
TR1b_level_noise_050,6.770739026758979e-05,0.0015724209998510008,-2.475758661185018e-17,0.012797731505740206,-0.03747253859180688,0.05491652871292452
TR1c_level_noise_025,7.310140325897788e-05,0.0016991044672612211,1.8568189958887636e-16,0.014872766847236315,-0.042248066430621734,0.059979595808693276
TR1d_level_noise_010,1.707825035570778e-09,1.8471435109077025e-07,1.485455196711011e-16,0.017945660841539215,-0.04892413253002559,0.06648195049084116
TR2_deterministic_linear,6.787091864264053e-72,2.694976554580774e-71,5.3126579271579535e-05,0.027127154463074905,-0.07381101980433158,0.08671459140233928
