model_id,covid_main_end,residual_mean,residual_std,residual_rmse,ljung_box_p_value_lag12,ljung_box_p_value_lag24
M1,2021-12-01,6.189396652962545e-17,0.010131747808208134,0.010114081277229714,1.124825664906358e-07,3.165218160167261e-06
M2,2022-03-01,2.351970728125767e-16,0.010141147533601524,0.010123464612505328,9.384882980543198e-08,1.969740798773251e-06
M2b,2022-06-01,2.228182795066516e-16,0.01078635303320545,0.01076754507986783,7.700800322205285e-08,4.585081937051974e-06
M3,2022-12-01,6.808336318258799e-17,0.010481646097531145,0.010463369455732296,2.74526485271938e-07,7.29008986237939e-06
M4,2023-05-01,3.0328043599516474e-16,0.010719554101646335,0.010700862624302398,2.192728096934034e-07,1.0819897412521067e-05
M5,None,1.6092431297702618e-16,0.010631880984207214,0.010613342380767615,7.867526891515739e-08,3.2192556153285237e-06
