model_id,status,error,converged,warnflag,convergence_warning,nobs,log_likelihood,aic,bic,ljung_box_p_value_lag12,ljung_box_p_value_lag24,warning_messages,residual_mean,residual_std,residual_rmse,estimated_slope_noise,slope_noise_definition
baseline_m4,success,,True,0,False,287,584.0694369756319,-1124.1388739512638,-1043.6302652045522,2.192728096934034e-07,1.0819897412521067e-05,,3.0328043599516474e-16,0.010719554101646335,0.010700862624302398,2.2557076995295782e-11,estimated
fixed_slope_m4,success,,True,0,False,287,584.0710110468422,-1126.1420220936843,-1049.2928955627322,2.1937287206310337e-07,1.0770698814868663e-05,,6.808336318258799e-17,0.010720274077211177,0.010701581344459896,0.0,fixed_at_zero_by_selection_matrix
